5219,2.39249,0.950201,423.994,4.61662,-28.5979,-3.60422
5225,2.81494,0.769699,423.824,-4.37359,-28.165,3.89314
5235,2.00167,0.934767,424.435,4.5774,-28.898,3.87618
5240,2.02353,-0.730619,423.644,-4.34303,-29.0079,-3.96048
5244,1.99276,-0.904941,423.822,4.69817,-29.0475,-3.75481
5308,3.79232,0.871755,424.259,4.6139,-28.6683,3.87115
5311,3.48456,1.16812,424.047,4.59582,-28.6148,3.866
5315,4.30158,1.11292,424.212,4.6911,-28.1816,-3.91249
5338,4.11004,-0.925806,423.877,4.52686,-29.0855,-3.91689
5387,3.75067,1.04507,423.962,4.58983,-28.3621,3.85745
5423,3.92263,1.40972,423.742,-4.41215,-28.6561,-3.59162
5424,4.16598,0.977282,424.263,4.57237,-28.292,3.8009
5426,3.86441,0.995988,424.462,4.52192,-28.3404,3.7884
5455,3.24509,0.977819,424.167,4.75984,-28.9719,-3.95321
5456,3.09068,0.826214,424.425,4.60255,-29.692,3.89421
5457,3.81861,0.683909,423.763,-5.25214,-28.4411,3.75078
5458,3.11472,-0.971477,424.415,4.64395,-29.1837,-3.70776
5460,3.31202,0.991936,424.534,4.68872,-28.9989,3.77217
5809,2.38939,1.03706,423.564,4.35458,-28.8828,3.7523
5810,1.85908,-0.890347,423.631,-4.58065,-28.583,3.80641
5814,2.33636,0.926856,423.926,4.47281,-28.7546,3.92464
5816,2.87698,1.07482,424.269,4.49433,-28.9165,3.81153
5817,3.25487,0.957823,424.434,4.59399,-28.9055,3.89867
5842,2.63629,0.965875,424.508,4.70966,-28.9506,3.92468
5843,1.82563,-1.03683,424.612,4.62996,-29.3553,-3.60679
5844,1.79371,-0.940908,424.479,-4.83961,-29.0593,3.88118
